Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-08-07 16:15:19,76.91
ELY MN,47.903237,-91.867087,2023-08-07 16:16:19,75.79
Death Valley CA,36.5323,-116.93,2023-08-07 16:16:20,108.64
Maryville MO,40.346102,-94.872471,2023-08-07 16:16:20,76.91
ELY MN,47.903237,-91.867087,2023-08-07 16:17:20,75.79
Death Valley CA,36.5323,-116.93,2023-08-07 16:17:20,108.64
Maryville MO,40.346102,-94.872471,2023-08-07 16:17:20,76.91
ELY MN,47.903237,-91.867087,2023-08-07 16:18:20,75.79
Death Valley CA,36.5323,-116.93,2023-08-07 16:18:21,108.64
Maryville MO,40.346102,-94.872471,2023-08-07 16:18:21,76.91
